NAME                                                           READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                                                                                    SELECTOR
deployment.apps/nfs-client-provisioner                         2/2     2            2           107d    nfs-client-provisioner              asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/sig-storage/nfs-subdir-external-provisioner:v4.0.2                                                                            app=nfs-client-provisioner
deployment.apps/p0-6-c2-c3-a6525d0d                            1/1     1            1           11d     app                                 asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-chat-agent-poc:20260705T112500Z-p0-6-c2-c3-a6525d0d-amd64                                                                  app.kubernetes.io/name=p0-6-c2-c3-a6525d0d
deployment.apps/portal-stream-lab-api                          1/1     1            1           6d22h   api                                 asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/portal-api:stream-lab-20260711-000038                                                                                         app=portal-stream-lab-api
deployment.apps/portal-stream-lab-front                        1/1     1            1           6d22h   front                               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/portal-react:stream-lab-20260711-002923                                                                                       app=portal-stream-lab-front
deployment.apps/preprocessor-19                                0/1     1            0           86d     preprocessor-19                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-market-preprocessor:1.0.2                                                                                                  app=preprocessor-19
deployment.apps/preprocessor-64                                1/1     1            1           8d      preprocessor-64                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/doc-parser-preprocessor:1.3.8.1-gpu-libpath-memfix-v2                                                                     app=preprocessor-64
deployment.apps/preprocessor-82                                1/1     1            1           7d3h    preprocessor-82                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/doc-parser-preprocessor:1.3.8.1-gpu-libpath-memfix-fv                                                                     app=preprocessor-82
deployment.apps/preprocessor-85                                1/1     1            1           7d3h    preprocessor-85                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/doc-parser-preprocessor:2.2.2                                                                                             app=preprocessor-85
deployment.apps/preprocessor-88                                1/1     1            1           7d      preprocessor-88                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/doc-parser-preprocessor:1.3.8.1-gpu-libpath-memfix-fv                                                                     app=preprocessor-88
deployment.apps/preprocessor-91                                1/1     1            1           4d17h   preprocessor-91                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/doc-parser-preprocessor@sha256:718277e202b9fbd61c0dd4fe431aa036b2f51541f6e5831a4e3169c1f02cf64f                           app=preprocessor-91
deployment.apps/sse-history-bridge                             1/1     1            1           50d     sse-history-bridge                  asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/sse-history-bridge:0.6.5-stability-20260529-164535                                                                            app=sse-history-bridge
deployment.apps/vertex-openai-proxy                            2/2     2            2           98d     vertex-openai-proxy                 asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/vertex-openai-proxy:vlm-split-127fa8f-20260428-002319                                                                         app=vertex-openai-proxy
deployment.apps/vertex-openai-proxy-canary                     1/1     1            1           95d     vertex-openai-proxy                 asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/vertex-openai-proxy:genos-compat-log2-127fa8f-20260427-230948                                                                 app.kubernetes.io/instance=vertex-openai-proxy-canary,app.kubernetes.io/name=vertex-openai-proxy
deplo
